         1.470         0.115        -0.343        -0.339
         1.480         0.112        -0.335        -0.331
         1.490         0.109        -0.327        -0.324
         1.500         0.105        -0.320        -0.316
         1.510         0.102        -0.313        -0.309
         1.520         0.099        -0.305        -0.302
         1.530         0.096        -0.298        -0.294
         1.540         0.093        -0.291        -0.287
         1.550         0.090        -0.284        -0.280
         1.560         0.088        -0.277        -0.274
         1.570         0.085        -0.270        -0.267
         1.580         0.082        -0.264        -0.260
         1.590         0.080        -0.257        -0.254
         1.600         0.077        -0.251        -0.247
         1.610         0.075        -0.244        -0.241
         1.620         0.072        -0.238        -0.235
         1.630         0.070        -0.232        -0.229
         1.640         0.068        -0.226        -0.223
         1.650         0.066        -0.220        -0.217
         1.660         0.064        -0.214        -0.211
         1.670         0.061        -0.208        -0.205
         1.680         0.059        -0.203        -0.200
         1.690         0.057        -0.197        -0.194
         1.700         0.056        -0.192        -0.189
         1.710         0.054        -0.186        -0.184
         1.720         0.052        -0.181        -0.179
         1.730         0.050        -0.176        -0.173
         1.740         0.048        -0.171        -0.169
         1.750         0.047        -0.166        -0.164
         1.760         0.045        -0.161        -0.159
         1.770         0.044        -0.157        -0.154
         1.780         0.042        -0.152        -0.150
         1.790         0.041        -0.148        -0.145
         1.800         0.039        -0.143        -0.141
         1.810         0.038        -0.139        -0.137
         1.820         0.036        -0.135        -0.133
         1.830         0.035        -0.131        -0.129
         1.840         0.034        -0.127        -0.125
         1.850         0.033        -0.123        -0.121
         1.860         0.031        -0.119        -0.117
         1.870         0.030        -0.115        -0.113
         1.880         0.029        -0.111        -0.110
         1.890         0.028        -0.108        -0.106
         1.900         0.027        -0.104        -0.103
         1.910         0.026        -0.101        -0.099
         1.920         0.025        -0.098        -0.096
         1.930         0.024        -0.095        -0.093
         1.940         0.023        -0.092        -0.090
         1.950         0.022        -0.089        -0.087
         1.960         0.021        -0.086        -0.084
         1.970         0.021        -0.083        -0.081
         1.980         0.020        -0.080        -0.079
         1.990         0.019        -0.077        -0.076
         2.000         0.018        -0.075        -0.073
